global_block_title,direction_title,system_title,product_group_id,product_group_title,mapped_vendors,coverage
ТХ оборудование,Технологическое оборудование,Медицинские газы и оборудование,visualization-and-diagnostics,Визуализация и диагностика,5,covered
ТХ оборудование,Технологическое оборудование,Медицинские газы и оборудование,cardiology-and-emergency-care,Кардиология и неотложная помощь,2,covered
ТХ оборудование,Технологическое оборудование,Медицинские газы и оборудование,anesthesiology-and-intensive-care,Анестезиология и интенсивная терапия,1,covered
ТХ оборудование,Технологическое оборудование,Медицинские газы и оборудование,infusion-therapy-and-temperature-management,Инфузионная терапия и управление температурами,2,covered
ТХ оборудование,Технологическое оборудование,Медицинские газы и оборудование,meditsinskoe-oborudovanie,Медицинское оборудование,7,covered
ТХ оборудование,Технологическое оборудование,Комплектация,soft-and-office-furniture,Мебель (мягкая и офисная),2,covered
ТХ оборудование,Технологическое оборудование,Комплектация,industrial-furniture,Промышленная мебель,1,covered
ТХ оборудование,Технологическое оборудование,Досмотровое оборудование,access-and-control-systems,Системы доступа и контроля,1,covered
ТХ оборудование,Технологическое оборудование,Досмотровое оборудование,dosmotrovoe-oborudovanie,Досмотровое оборудование,2,covered
ТХ оборудование,Технологическое оборудование,Медийное оборудование,assembly-hall-equipment,Актовый зал,1,covered
ТХ оборудование,Технологическое оборудование,Медийное оборудование,media-apparatus,Аппаратура,1,covered
ТХ оборудование,Технологическое оборудование,Медийное оборудование,mediynoe-oborudovanie,Медийное оборудование,1,covered
ТХ оборудование,Технологическое оборудование,Мебель,mebel,Мебель,2,covered
ТХ оборудование,Технологическое оборудование,Мебель,ofisnaya-mebel,Офисная мебель,2,covered
ТХ оборудование,Технологическое оборудование,Спортивное оборудование,sportivnoe-oborudovanie,Спортивное оборудование,1,covered
ТХ оборудование,Технологическое оборудование,Стеллажи,stellazhi,Стеллажи,2,covered
ТХ оборудование,Технологическое оборудование,Актовый зал,aktovyy-zal,Актовый зал,1,covered
ТХ оборудование,Технологическое оборудование,Оборудование столовой и пищеблока,oborudovanie-stolovoy,Оборудование столовой,1,covered
ТХ оборудование,Технологическое оборудование,Оборудование столовой и пищеблока,oborudovanie-pischebloka,Оборудование пищеблока,1,covered
ТХ оборудование,Технологическое оборудование,Хозяйственное оборудование,hozyaystvennoe-oborudovanie,Хозяйственное оборудование,1,covered
ТХ оборудование,Технологическое оборудование,Оборудование санузлов,oborudovanie-sanuzlov,Оборудование санузлов,6,covered
ТХ оборудование,Технологическое оборудование,Оборудование гардероба,oborudovanie-garderoba,Оборудование гардероба,1,covered
ТХ оборудование,Технологическое оборудование,Библиотечное оборудование,bibliotechnoe-oborudovanie,Библиотечное оборудование,1,covered
ТХ оборудование,Технологическое оборудование,Лабораторное оборудование,laboratornoe-oborudovanie,Лабораторное оборудование,4,covered
